SampleID	observed_otus	faith_pd	shannon	pielou_e	ExpShannon	Description
A1	311	44.75406065	6.06206987	0.732065896	429.2630365	A1__Swab
A10	105	20.4927197	3.457988358	0.515022626	31.75303647	A10__Swab
A11	151	34.1145299	4.179327829	0.577382445	65.32193094	A11__Swab
A12	174	34.62840295	3.732339008	0.501460076	41.77671002	A12__Swab
A13	96	22.82807142	3.262708098	0.495478615	26.12017745	A13__Swab
A2	112	24.88592527	3.576739324	0.525422777	35.75675936	A2__Swab
A3	152	33.17282735	4.22630375	0.583105135	68.46370496	A3__Swab
A4	167	35.67287984	4.281938263	0.579917355	72.3805968	A4__Swab
A5	125	31.51702899	3.967892401	0.569626081	52.87297831	A5__Swab
A6	151	31.56246188	4.212473794	0.581961626	67.52337231	A6__Swab
A7	150	36.07721636	4.260502737	0.589377451	70.84559117	A7__Swab
A8	233	47.63268437	4.771933443	0.606793043	118.1474526	A8__Swab
A9	130	29.9701735	3.868894056	0.55093868	47.88939382	A9__Swab
P26-D29	66	17.27504299	2.950201386	0.488088852	19.10980178	P26_D29_Juvenile_Swab
P28-D29	135	24.95680251	4.34911371	0.61455801	77.40982495	P28_D29_Juvenile_Swab
P31-D29	86	18.22726589	4.492237281	0.699043294	89.32105882	P31_D29_Juvenile_Swab
P38-D29	153	27.71385631	5.447111465	0.750560888	232.0868058	P38_D29_Juvenile_Swab
P45-D29	111	21.4342112	4.61797085	0.679671504	101.2882943	P45_D29_Juvenile_Swab
P47-D29	57	14.36863544	2.491992735	0.427231223	12.08533501	P47_D29_Juvenile_Swab
P50-D29	144	25.08745114	4.89354849	0.682510415	133.4261965	P50_D29_Juvenile_Swab
P52-D29	45	12.4606291	1.363196422	0.248221574	3.908667105	P52_D29_Juvenile_Swab
P57-D29	96	20.71668107	3.71194752	0.563700632	40.93344767	P57_D29_Juvenile_Swab
P61-D29	110	21.8753789	3.923812972	0.578617436	50.59298713	P61_D29_Juvenile_Swab
P68-D29	145	24.75176589	4.998757822	0.69621464	148.228918	P68_D29_Juvenile_Swab
P78-D29	126	23.52090623	5.085119952	0.728811228	161.5993222	P78_D29_Juvenile_Swab
P79-D29	86	17.59539998	3.705814839	0.576667003	40.68318404	P79_D29_Juvenile_Swab
P84-D29	105	21.55611913	4.237865466	0.631175231	69.25985641	P84_D29_Juvenile_Swab
P91-D29	79	17.75531873	3.860564901	0.612420554	47.49217218	P91_D29_Juvenile_Swab
