SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
MVB2015-2526	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2015	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2526	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2529	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2016	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2529	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2532	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2017	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2532	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2535	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2018	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2535	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2538	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2019	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2538	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2541	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2020	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2541	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2544	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2021	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2544	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2547	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2022	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2547	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2551	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2023	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2551	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2555	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2024	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2555	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
