Study.SpeciesID	FrogGenus	FrogFamily	FrogOrder	LifeStage	Captive_Wild	Type_of_captivity_2	Species_captive_wild	Type_of_captivity	FrogSex	Region	Locality	State	Country	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration of Captivity (days)	Binded_duration	CaptivitySubstrateDetails	GroupedSubstrate	CaptivitySubstrateBinary	FrogSpecies_Again
Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	NA	Anaxyrus boreas_Captive	unknown	Unknown	Temperate	NARSF	Colorado	USA	37.469237	_105.876357	Captive	Terrestrial	Pond	10_01_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck35Pre.1Bubo.2.453083	BornCaptivity	year old	1_year__7_years	Sterile	Sterile	Sterile	Anaxyrus boreas
Rana luteiventris	Rana	Ranidae	Anura	Adult	Captive	Unknown	Rana luteiventris_Captive	unknown	Uknown	Temperate	Carrol College Lab	Montana	USA	NA	NA	Aquatic	Semi_aquatic	Pond	5_27_2016	May.2016	Spring	Rocky.Mountains	Unknown	Sterile_Provasoli	Skin	MoBioPS_tubes	2x150	Dalhousie	Andy.Loudon	Keep	Lab.L.l..1	BroughtCaptivity	14 days	1_day_1_month	Water	Water	Natural Substrate	Rana luteiventris
Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	Sterile	Rana pretsiosa_Captive	unknown	Uknown	Temperate	Vancouver Aquarium	British Columbia	Canada	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x150	Dalhousie	Andy.Loudon	Keep	OSF.F098	BornCaptivity	1 year	1_year__7_years	soil and water natural	Soil	Natural Substrate	Rana pretsiosa
Ambystoma maculatumSterile	Ambystoma	Ambystomatidae	Caudata	Juvenile	Captive	NA	Ambystoma maculatum_Captive	unknown	Juvenile	Temperate	Boston	MA	USA	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P26-D29	BornCaptivity	9 months	6_months__1_year	Paper towel	Sterile	Sterile	Ambystoma maculatum
Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	NA	Andrias japonicus_Captive	unknown	Unknown	Temperate	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	NA	NA	Captive	Aquatic	Stream	7.March.2015	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2526	BornCaptivity	more than 5 years	1_year__7_years	Water	Water	Natural Substrate	Andrias japonicus
Cynops pyrrhogaster	Cynops	Salamandridae	Caudata	Adult	Captive	NA	Cynops pyrrhogaster_Captive	unknown	Male	Temperate	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	34.385278	132.455288	Captive	Semi_aquatic	Pond	4.March.2015	March.2015	Unknown	temperate.deciduous.forest	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-920	BornCaptivity	2 years and up	1_year__7_years	gravel with flow throuogh water	Rock	Natural Substrate	Cynops pyrrhogaster
Plethodon cinereusSterile	Plethodon	Plethodontidae	Caudata	Adult	Captive	Either sterile of on soil confirm	Plethodon cinereus_Captive	unknown	Unknown	Temperate	NA	Virginia	USA	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P10D28	BroughtCaptivity	28 days	1_day_1_month	Sterile	Sterile	Sterile	Plethodon cinereus
Plethodon cinereusNatural	Plethodon	Plethodontidae	Caudata	Adult	Captive	Either sterile of on soil confirm	Plethodon cinereus_Captive	unknown	Unknown	Temperate	NA	Virginia	USA	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P17D28	BroughtCaptivity	28 days	1_day_1_month	Natural Soil	Soil	Natural Substrate	Plethodon cinereus
Ambystoma maculatumNatural	Ambystoma	Ambystomatidae	Caudata	Juvenile	Captive	NA	Ambystoma maculatum_Captive	unknown	Juvenile	Temperate	Boston	MA	USA	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P26-D29	BornCaptivity	9 months	6_months__1_year	Paper towel	Sterile	Natural Substrate	Ambystoma maculatum
Cryptobranchus alleganiensis	Cryptobranchus	Cryptobranchidae	Caudata	Adult	Captive	NA	Cryptobranchus alleganiensis_Captive	unknown	NA	Temperate	eastern	NA	NA	NA	NA	tank_zoo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Obed	Keep	Micro-57	BornCaptivity	2-5 years	1_year__7_years	sterilized water	Sterile	Sterile	Cryptobranchus alleganiensis
